Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size,Gen0,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",2,"38,339.19 ns",485.457 ns,430.345 ns,115.014 ns,"37,709.21 ns","38,013.46 ns","38,322.97 ns","38,600.41 ns","39,161.34 ns","26,083.0",485.4567 ns,14.00,1.861,2.000,0.2044,54,*,No,0.0000,"2,767 B",0.9766,0.0000,0.0000,0.0000,0.0000,90344 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",4,"75,579.54 ns",620.001 ns,579.949 ns,149.742 ns,"74,588.05 ns","75,233.80 ns","75,618.43 ns","76,053.81 ns","76,406.65 ns","13,231.1",620.0007 ns,15.00,1.638,2.000,-0.2694,56,*,No,0.0000,"2,779 B",1.9531,0.0000,0.0000,0.0000,0.0000,180072 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",8,"147,420.90 ns","1,289.424 ns","1,206.128 ns",311.421 ns,"145,768.15 ns","146,257.06 ns","147,612.12 ns","148,104.94 ns","149,936.27 ns","6,783.3","1,289.4240 ns",15.00,2.063,2.000,0.2228,58,*,No,0.0000,"2,777 B",3.6621,0.0000,0.0000,0.0000,0.0000,343912 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",16,"292,100.01 ns","2,224.380 ns","2,080.686 ns",537.231 ns,"287,498.44 ns","291,858.23 ns","292,251.37 ns","293,319.90 ns","294,539.36 ns","3,423.5","2,224.3797 ns",15.00,2.829,2.000,-0.8718,60,*,No,0.0000,"2,780 B",7.3242,0.0000,0.0000,0.4883,0.0000,671593 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",32,"823,919.76 ns","12,897.922 ns","12,064.725 ns","3,115.098 ns","806,995.46 ns","814,808.84 ns","823,070.56 ns","830,176.42 ns","849,307.57 ns","1,213.7","12,897.9223 ns",15.00,2.275,2.000,0.3845,62,*,No,0.0000,"2,783 B",21.4844,0.0000,0.0000,10.7422,10.7422,1326963 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",64,"1,572,733.78 ns","30,621.266 ns","35,263.496 ns","7,885.157 ns","1,508,515.23 ns","1,557,968.46 ns","1,576,610.06 ns","1,593,029.05 ns","1,631,099.22 ns",635.8,"30,621.2661 ns",20.00,2.024,2.000,-0.1431,64,*,No,0.0000,"2,785 B",41.0156,0.0000,0.0000,19.5313,19.5313,2637691 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",128,"3,074,914.05 ns","61,496.357 ns","88,196.237 ns","16,667.522 ns","2,905,191.60 ns","2,996,538.77 ns","3,072,379.10 ns","3,136,382.42 ns","3,223,643.55 ns",325.2,"61,496.3567 ns",28.00,1.871,2.000,0.1201,66,*,No,0.0000,"2,772 B",82.0313,0.0000,0.0000,39.0625,39.0625,5259194 B
'BytesToString: Comparison',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",256,"5,591,667.34 ns","108,546.368 ns","101,534.340 ns","26,216.054 ns","5,439,994.53 ns","5,507,173.83 ns","5,554,214.84 ns","5,681,219.92 ns","5,766,703.91 ns",178.8,"108,546.3684 ns",15.00,1.466,2.000,0.1396,68,*,No,0.0000,"2,777 B",132.8125,0.0000,0.0000,46.8750,46.8750,10502173 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",2,70.59 ns,0.353 ns,0.330 ns,0.085 ns,69.95 ns,70.46 ns,70.68 ns,70.82 ns,71.04 ns,"14,166,170.2",0.3531 ns,15.00,2.057,2.000,-0.5501,3,*,No,0.0000,"1,013 B",0.0008,0.0000,0.0000,0.0000,0.0000,80 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",4,93.91 ns,0.229 ns,0.214 ns,0.055 ns,93.55 ns,93.84 ns,93.89 ns,94.10 ns,94.22 ns,"10,648,901.5",0.2288 ns,15.00,1.819,2.000,-0.1861,7,*,No,0.0000,"1,013 B",0.0013,0.0000,0.0000,0.0000,0.0000,128 B
