Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size,Completed Work Items,Lock Contentions,Allocated
EasyLogger.LogCritical,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.530 ns,0.0127 ns,0.0226 ns,0.0036 ns,2.523 ns,2.507 ns,2.512 ns,2.547 ns,2.583 ns,"395,200,700.6",0.0127 ns,40.00,2.695,2.000,0.9736,4,*,No,0.0000,350 B,0.0000,0.0000,0 B
EasyLogger.LogDebug,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,1.940 ns,0.0171 ns,0.0151 ns,0.0040 ns,1.938 ns,1.922 ns,1.931 ns,1.946 ns,1.975 ns,"515,388,404.2",0.0171 ns,14.00,2.665,2.000,0.8171,1,*,No,0.0000,340 B,0.0000,0.0000,0 B
EasyLogger.LogError,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,1.998 ns,0.0120 ns,0.0112 ns,0.0029 ns,1.993 ns,1.985 ns,1.989 ns,2.005 ns,2.021 ns,"500,614,114.9",0.0120 ns,15.00,2.036,2.000,0.6562,2,*,No,0.0000,340 B,0.0000,0.0000,0 B
EasyLogger.LogException,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.520 ns,0.1123 ns,0.3311 ns,0.0331 ns,2.393 ns,2.192 ns,2.207 ns,2.919 ns,3.105 ns,"396,845,509.1",0.1123 ns,100.00,1.556,3.061,0.4814,4,*,No,0.0000,350 B,0.0000,0.0000,0 B
EasyLogger.LogInformation,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,1.989 ns,0.0088 ns,0.0078 ns,0.0021 ns,1.989 ns,1.976 ns,1.983 ns,1.993 ns,2.004 ns,"502,787,910.7",0.0088 ns,14.00,2.231,2.000,0.3826,2,*,No,0.0000,340 B,0.0000,0.0000,0 B
EasyLogger.LogTrace,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.001 ns,0.0215 ns,0.0191 ns,0.0051 ns,1.996 ns,1.979 ns,1.986 ns,2.005 ns,2.035 ns,"499,854,155.4",0.0215 ns,14.00,1.974,2.000,0.6592,2,*,No,0.0000,331 B,0.0000,0.0000,0 B
EasyLogger.Warning,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,1.991 ns,0.0093 ns,0.0134 ns,0.0025 ns,1.986 ns,1.977 ns,1.982 ns,1.998 ns,2.034 ns,"502,213,445.5",0.0093 ns,28.00,4.370,2.000,1.3129,2,*,No,0.0000,340 B,0.0000,0.0000,0 B
EasyLoggerExtensions.LogCriticalMessage,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.306 ns,0.0178 ns,0.0166 ns,0.0043 ns,2.306 ns,2.286 ns,2.290 ns,2.315 ns,2.333 ns,"433,723,822.8",0.0178 ns,15.00,1.611,2.000,0.3011,4,*,No,0.0000,509 B,0.0000,0.0000,0 B
EasyLoggerExtensions.LogErrorMessage,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.071 ns,0.0116 ns,0.0108 ns,0.0028 ns,2.068 ns,2.054 ns,2.065 ns,2.081 ns,2.088 ns,"482,781,026.9",0.0116 ns,15.00,1.638,2.000,-0.0172,3,*,No,0.0000,490 B,0.0000,0.0000,0 B
EasyLoggerExtensions.LogExceptionMessage,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Logging,LOGGING,2.150 ns,0.0538 ns,0.0504 ns,0.0130 ns,2.184 ns,2.084 ns,2.095 ns,2.192 ns,2.195 ns,"465,140,078.9",0.0538 ns,15.00,1.069,3.333,-0.3768,3,*,No,0.0000,490 B,0.0000,0.0000,0 B
