Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Gen0,Completed Work Items,Lock Contentions,Exceptions,Allocated
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,98.13 ns,0.299 ns,0.265 ns,0.071 ns,97.66 ns,97.99 ns,98.06 ns,98.19 ns,98.66 ns,"10,190,986.4",0.2986 ns,14.00,2.467,2.000,0.5146,1,*,No,578 B,0.0008,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,148.84 ns,0.717 ns,0.670 ns,0.173 ns,147.87 ns,148.32 ns,148.78 ns,149.35 ns,149.86 ns,"6,718,518.2",0.7166 ns,15.00,1.544,2.000,0.1637,3,*,No,578 B,0.0007,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,228.09 ns,0.615 ns,0.575 ns,0.149 ns,227.21 ns,227.68 ns,228.04 ns,228.53 ns,228.99 ns,"4,384,270.2",0.6150 ns,15.00,1.643,2.000,-0.0199,4,*,No,578 B,0.0007,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,412.86 ns,1.547 ns,1.447 ns,0.374 ns,410.56 ns,411.81 ns,412.87 ns,413.79 ns,415.38 ns,"2,422,106.9",1.5474 ns,15.00,1.866,2.000,0.0618,7,*,No,578 B,0.0005,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,718.68 ns,2.808 ns,2.626 ns,0.678 ns,710.18 ns,718.09 ns,719.09 ns,720.14 ns,721.59 ns,"1,391,447.7",2.8077 ns,15.00,7.450,2.000,-2.0836,8,*,No,578 B,0.0000,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,"1,461.89 ns",6.544 ns,6.122 ns,1.581 ns,"1,446.31 ns","1,459.55 ns","1,462.24 ns","1,465.39 ns","1,472.92 ns","684,046.3",6.5444 ns,15.00,3.726,2.000,-0.6126,10,*,No,578 B,0.0000,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,"2,695.75 ns",16.267 ns,15.216 ns,3.929 ns,"2,659.68 ns","2,687.88 ns","2,690.82 ns","2,703.64 ns","2,721.40 ns","370,953.8",16.2666 ns,15.00,3.147,2.000,-0.2885,12,*,No,578 B,0.0000,0.0000,0.0000,0.0000,80 B
'HasItems: With Count',Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,"5,708.64 ns",23.495 ns,21.977 ns,5.675 ns,"5,640.83 ns","5,701.37 ns","5,709.46 ns","5,723.68 ns","5,730.49 ns","175,173.1",23.4952 ns,15.00,6.231,2.000,-1.7747,14,*,No,578 B,0.0000,0.0000,0.0000,0.0000,80 B
HasItems,Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,99.56 ns,0.562 ns,0.525 ns,0.136 ns,98.63 ns,99.25 ns,99.59 ns,99.92 ns,100.52 ns,"10,044,240.4",0.5618 ns,15.00,1.998,2.000,-0.0524,2,*,No,508 B,0.0008,0.0000,0.0000,0.0000,80 B
HasItems,Job-LNCZTW,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,149.79 ns,0.472 ns,0.442 ns,0.114 ns,149.32 ns,149.45 ns,149.77 ns,150.02 ns,150.83 ns,"6,676,057.9",0.4724 ns,15.00,2.663,2.000,0.8583,3,*,No,508 B,0.0007,0.0000,0.0000,0.0000,80 B
