Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Completed Work Items,Lock Contentions,Gen0,Code Size,Gen1,Allocated
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,52.8437 ns,0.2240 ns,0.2095 ns,0.0541 ns,52.8639 ns,52.3925 ns,52.7083 ns,53.0212 ns,53.0811 ns,"18,923,722.1",0.2240 ns,15.00,2.073,2.000,-0.5562,31,*,No,0.0000,0.0000,0.0000,0.0004,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,95.7885 ns,0.4500 ns,0.4209 ns,0.1087 ns,95.6220 ns,95.2047 ns,95.5643 ns,96.0154 ns,96.5932 ns,"10,439,661.1",0.4500 ns,15.00,1.978,2.000,0.6039,39,*,No,0.0000,0.0000,0.0000,0.0004,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,164.9751 ns,0.5092 ns,0.4514 ns,0.1206 ns,165.0300 ns,164.0995 ns,164.7336 ns,165.3672 ns,165.4863 ns,"6,061,521.4",0.5092 ns,14.00,1.881,2.000,-0.5555,48,*,No,0.0000,0.0000,0.0000,0.0002,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,306.4563 ns,1.0152 ns,0.9000 ns,0.2405 ns,306.4101 ns,305.0611 ns,305.7589 ns,307.0424 ns,308.3676 ns,"3,263,107.5",1.0152 ns,14.00,2.266,2.000,0.3969,55,*,No,0.0000,0.0000,0.0000,0.0000,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,588.3124 ns,1.4653 ns,1.3706 ns,0.3539 ns,588.4117 ns,585.7156 ns,587.7292 ns,589.3082 ns,590.1898 ns,"1,699,777.1",1.4653 ns,15.00,2.179,2.000,-0.5463,62,*,No,0.0000,0.0000,0.0000,0.0000,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,"1,153.0991 ns",5.3374 ns,4.9927 ns,1.2891 ns,"1,154.1775 ns","1,137.2391 ns","1,151.7884 ns","1,155.4590 ns","1,158.4606 ns","867,228.1",5.3374 ns,15.00,6.950,2.000,-2.0002,69,*,No,0.0000,0.0000,0.0000,0.0000,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,"2,289.7948 ns",8.7739 ns,7.7778 ns,2.0787 ns,"2,287.2198 ns","2,276.1662 ns","2,284.8576 ns","2,295.8385 ns","2,304.3991 ns","436,720.3",8.7739 ns,14.00,1.981,2.000,0.2137,74,*,No,0.0000,0.0000,0.0000,0.0000,456 B,0.0000,40 B
'HasItems: With Count',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,"4,553.8921 ns",17.4700 ns,16.3415 ns,4.2194 ns,"4,548.5947 ns","4,521.0892 ns","4,545.2145 ns","4,563.1496 ns","4,583.2939 ns","219,592.4",17.4700 ns,15.00,2.317,2.000,0.0947,79,*,No,0.0000,0.0000,0.0000,0.0000,456 B,0.0000,40 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,459.3165 ns,2.1273 ns,1.9899 ns,0.5138 ns,459.2199 ns,453.6704 ns,458.6229 ns,460.5777 ns,461.8440 ns,"2,177,148.2",2.1273 ns,15.00,4.727,2.000,-1.2012,59,*,No,0.0000,0.0000,0.0000,0.0000,948 B,0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,498.5813 ns,2.7773 ns,2.5979 ns,0.6708 ns,499.0848 ns,489.9968 ns,498.3814 ns,500.0949 ns,500.7578 ns,"2,005,691.1",2.7773 ns,15.00,8.043,2.000,-2.2952,60,*,No,0.0000,0.0000,0.0000,0.0000,"1,099 B",0.0000,0 B
