Method,Runtime,Categories,Count,Mean,Allocated
'ComputeHash: SHA256',.NET 8.0,Strings,2,"1,429.83",1440 B
'ComputeHash: SHA256',.NET 8.0,Strings,4,"2,009.64",1552 B
'ComputeHash: SHA256',.NET 8.0,Strings,8,"3,023.91",1776 B
'ComputeHash: SHA256',.NET 8.0,Strings,16,"4,890.38",2232 B
'ComputeHash: SHA256',.NET 8.0,Strings,32,"8,482.55",3144 B
'ComputeHash: SHA256',.NET 8.0,Strings,64,"15,980.38",4968 B
'ComputeHash: SHA256',.NET 8.0,Strings,128,"30,694.37",8616 B
'ComputeHash: SHA256',.NET 8.0,Strings,256,"59,986.55",15912 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,2,208.584,720 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,4,319.164,1256 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,8,539.229,2320 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,16,996.284,4448 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,32,"1,905.18",8704 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,64,"3,541.06",17216 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,128,"7,597.34",34240 B
'Split: RemoveEmptyEntries',.NET 8.0,Strings,256,"14,357.67",68288 B
'Split: TrimEntries + Count',.NET 8.0,Strings,2,218.941,680 B
'Split: TrimEntries + Count',.NET 8.0,Strings,4,334.969,1200 B
'Split: TrimEntries + Count',.NET 8.0,Strings,8,596.448,2232 B
'Split: TrimEntries + Count',.NET 8.0,Strings,16,908.472,4104 B
'Split: TrimEntries + Count',.NET 8.0,Strings,32,"1,513.77",7752 B
'Split: TrimEntries + Count',.NET 8.0,Strings,64,"2,657.85",15048 B
'Split: TrimEntries + Count',.NET 8.0,Strings,128,"5,197.36",29640 B
'Split: TrimEntries + Count',.NET 8.0,Strings,256,"10,551.89",58824 B
'Split: TrimEntries',.NET 8.0,Strings,2,219.537,680 B
'Split: TrimEntries',.NET 8.0,Strings,4,346.02,1200 B
'Split: TrimEntries',.NET 8.0,Strings,8,600.858,2232 B
'Split: TrimEntries',.NET 8.0,Strings,16,"1,112.49",4296 B
'Split: TrimEntries',.NET 8.0,Strings,32,"2,156.07",8424 B
'Split: TrimEntries',.NET 8.0,Strings,64,"4,153.59",16680 B
'Split: TrimEntries',.NET 8.0,Strings,128,"8,741.25",33192 B
'Split: TrimEntries',.NET 8.0,Strings,256,"16,790.02",66216 B
ComputeSHA256Hash,.NET 8.0,Strings,2,"2,073.68",1640 B
ComputeSHA256Hash,.NET 8.0,Strings,4,"2,574.14",2000 B
ComputeSHA256Hash,.NET 8.0,Strings,8,"4,077.99",2712 B
ComputeSHA256Hash,.NET 8.0,Strings,16,"6,598.45",4128 B
ComputeSHA256Hash,.NET 8.0,Strings,32,"12,099.65",6960 B
ComputeSHA256Hash,.NET 8.0,Strings,64,"23,159.63",12624 B
ComputeSHA256Hash,.NET 8.0,Strings,128,"44,692.09",23952 B
ComputeSHA256Hash,.NET 8.0,Strings,256,"88,398.49",46608 B
ContainsAny,.NET 8.0,Strings,2,46.837,184 B
ContainsAny,.NET 8.0,Strings,4,46.069,184 B
ContainsAny,.NET 8.0,Strings,8,46.05,184 B
ContainsAny,.NET 8.0,Strings,16,46.816,184 B
ContainsAny,.NET 8.0,Strings,32,46.216,184 B
ContainsAny,.NET 8.0,Strings,64,46.414,184 B
ContainsAny,.NET 8.0,Strings,128,46.525,184 B
ContainsAny,.NET 8.0,Strings,256,46.025,184 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",2,150.375,608 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",4,251.45,1144 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",8,446.731,2208 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",16,839.034,4336 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",32,"1,626.70",8592 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",64,"3,280.66",17104 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",128,"6,491.16",34128 B
DelimitedStringToArray,.NET 8.0,"Strings,**NEW**",256,"13,237.73",68176 B
EqualsIgnoreCase,.NET 8.0,Strings,2,1.242,0 B
EqualsIgnoreCase,.NET 8.0,Strings,4,1.635,0 B
EqualsIgnoreCase,.NET 8.0,Strings,8,1.243,0 B
EqualsIgnoreCase,.NET 8.0,Strings,16,1.656,0 B
EqualsIgnoreCase,.NET 8.0,Strings,32,1.639,0 B
EqualsIgnoreCase,.NET 8.0,Strings,64,1.227,0 B
EqualsIgnoreCase,.NET 8.0,Strings,128,1.47,0 B
EqualsIgnoreCase,.NET 8.0,Strings,256,1.673,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,2,1.428,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,4,1.403,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,8,1.458,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,16,1.4,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,32,1.899,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,64,1.405,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,128,1.473,0 B
EqualsOrBothNullOrEmpty,.NET 8.0,Strings,256,1.405,0 B
FromBase64,.NET 8.0,Strings,2,257.493,480 B
FromBase64,.NET 8.0,Strings,4,461.269,816 B
FromBase64,.NET 8.0,Strings,8,871.338,1496 B
FromBase64,.NET 8.0,Strings,16,"1,727.84",2864 B
