Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Gen0,Exceptions,Completed Work Items,Lock Contentions,Allocated
GenerateByteArray,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,191.57 ns",3.947 ns,3.692 ns,0.953 ns,"1,191.24 ns","1,186.23 ns","1,188.28 ns","1,193.74 ns","1,198.04 ns","839,229.9",3.9470 ns,15.00,1.584,2.000,0.2382,8,*,No,822 B,0.0343,0.0000,0.0000,0.0000,3264 B
GenerateCharacter,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,116.49 ns,0.339 ns,0.283 ns,0.079 ns,116.39 ns,116.14 ns,116.31 ns,116.61 ns,117.22 ns,"8,584,293.4",0.3393 ns,13.00,3.758,2.000,1.1350,3,*,No,164 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateCoordinate,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,294.17 ns,1.028 ns,0.858 ns,0.238 ns,293.97 ns,293.17 ns,293.55 ns,294.49 ns,296.24 ns,"3,399,355.1",1.0275 ns,13.00,3.028,2.000,0.9034,7,*,No,400 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateDecimal,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,237.32 ns,2.150 ns,2.011 ns,0.519 ns,236.39 ns,235.01 ns,235.69 ns,239.23 ns,240.69 ns,"4,213,759.7",2.1499 ns,15.00,1.403,2.000,0.3419,6,*,No,738 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateDomainExtension,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,121.72 ns,0.522 ns,0.436 ns,0.121 ns,121.67 ns,121.12 ns,121.66 ns,121.81 ns,122.70 ns,"8,215,549.2",0.5220 ns,13.00,2.852,2.000,0.5726,4,*,No,272 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateEmailAddress,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"3,452.45 ns",17.647 ns,14.736 ns,4.087 ns,"3,445.59 ns","3,436.68 ns","3,439.54 ns","3,468.01 ns","3,478.27 ns","289,649.3",17.6473 ns,13.00,1.412,2.000,0.3754,14,*,No,487 B,0.0000,0.0000,0.0000,0.0000,185 B
GenerateFile,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"448,469.50 ns","5,670.865 ns","5,027.074 ns","1,343.542 ns","446,664.23 ns","443,010.21 ns","444,988.22 ns","450,083.28 ns","457,736.08 ns","2,229.8","5,670.8647 ns",14.00,2.004,2.000,0.7440,22,*,No,"1,024 B",0.0000,0.0000,0.0000,0.0000,14025 B
GenerateFiles,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"869,293.96 ns","9,692.723 ns","7,567.440 ns","2,184.532 ns","871,601.66 ns","854,697.02 ns","863,771.75 ns","874,378.47 ns","879,619.97 ns","1,150.4","9,692.7228 ns",12.00,1.836,2.000,-0.4342,23,*,No,720 B,0.0000,0.0000,0.0000,0.0000,28545 B
GenerateInteger,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,95.51 ns,0.348 ns,0.308 ns,0.082 ns,95.64 ns,95.00 ns,95.32 ns,95.76 ns,95.91 ns,"10,470,016.5",0.3480 ns,14.00,1.612,2.000,-0.4725,2,*,No,343 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateKey,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,92.82 ns,0.460 ns,0.430 ns,0.111 ns,92.87 ns,92.11 ns,92.53 ns,93.09 ns,93.71 ns,"10,773,771.6",0.4596 ns,15.00,2.254,2.000,0.1358,1,*,No,239 B,0.0010,0.0000,0.0000,0.0000,88 B
