Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions,Completed Work Items,Lock Contentions,Gen0,Allocated
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,64,"19,029.55 ns",128.419 ns,107.236 ns,29.742 ns,"19,022.28 ns","18,883.58 ns","18,936.98 ns","19,095.39 ns","19,251.43 ns","52,549.8574",128.4194 ns,13.00,2.051,2.000,0.3901,5,*,No,587 B,0.0000,0.0000,0.0000,0.0000,848 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,128,"37,673.04 ns",153.508 ns,143.591 ns,37.075 ns,"37,671.97 ns","37,488.62 ns","37,575.52 ns","37,731.67 ns","37,962.08 ns","26,544.1821",153.5075 ns,15.00,2.108,2.000,0.5422,6,*,No,587 B,0.0000,0.0000,0.0000,0.0000,1616 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,256,"74,956.53 ns",336.998 ns,298.740 ns,79.842 ns,"74,883.81 ns","74,502.48 ns","74,765.02 ns","75,174.74 ns","75,494.11 ns","13,341.0654",336.9976 ns,14.00,1.826,2.000,0.4267,7,*,No,587 B,0.0000,0.0000,0.0000,0.0000,3152 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,512,"148,896.62 ns",272.270 ns,227.358 ns,63.058 ns,"148,928.26 ns","148,440.12 ns","148,785.66 ns","149,114.69 ns","149,160.00 ns","6,716.0691",272.2697 ns,13.00,1.973,2.000,-0.5657,8,*,No,587 B,0.0000,0.0000,0.0000,0.0000,6224 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,1024,"299,759.41 ns","1,664.372 ns","1,475.422 ns",394.323 ns,"299,408.72 ns","297,542.16 ns","298,954.83 ns","300,745.00 ns","302,427.51 ns","3,336.0087","1,664.3720 ns",14.00,1.866,2.000,0.2867,9,*,No,587 B,0.0000,0.0000,0.0000,0.0000,12369 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,2048,"610,104.69 ns","11,699.350 ns","13,472.989 ns","3,012.652 ns","601,280.91 ns","598,069.34 ns","599,887.92 ns","626,244.12 ns","632,477.05 ns","1,639.0630","11,699.3505 ns",20.00,1.516,2.667,0.6338,10,*,No,587 B,0.0000,0.0000,0.0000,0.0000,24657 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,4096,"1,218,322.87 ns","4,609.834 ns","3,849.421 ns","1,067.637 ns","1,218,978.22 ns","1,210,149.51 ns","1,215,970.61 ns","1,219,461.82 ns","1,225,026.66 ns",820.8005,"4,609.8344 ns",13.00,2.614,2.000,-0.2308,11,*,No,587 B,0.0000,0.0000,0.0000,0.0000,49234 B
'GenerateCoordinateCollection: Coordinate',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,8192,"2,429,110.35 ns","24,732.600 ns","23,134.889 ns","5,973.403 ns","2,422,241.60 ns","2,403,104.10 ns","2,411,440.43 ns","2,442,169.53 ns","2,487,766.60 ns",411.6734,"24,732.5997 ns",15.00,3.169,2.000,0.9152,12,*,No,587 B,0.0000,0.0000,0.0000,0.0000,98388 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,64,"25,578,918.51 ns","239,379.770 ns","199,892.950 ns","55,440.329 ns","25,602,028.12 ns","25,318,684.38 ns","25,426,453.12 ns","25,697,962.50 ns","25,938,803.12 ns",39.0947,"239,379.7701 ns",13.00,1.810,2.000,0.3700,17,*,No,709 B,0.0000,0.0000,0.0000,0.0000,271223 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,128,"52,161,903.33 ns","287,731.802 ns","269,144.506 ns","69,492.813 ns","52,219,060.00 ns","51,719,770.00 ns","51,931,665.00 ns","52,319,450.00 ns","52,625,110.00 ns",19.1711,"287,731.8015 ns",15.00,1.784,2.000,-0.0771,21,*,No,709 B,0.0000,0.0000,0.0000,0.0000,543130 B
